CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10000,Male,0,No,No,2,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),116.1,212.71,Yes
CUST-10001,Female,0,No,Yes,44,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,82.25,3631.89,No
CUST-10002,Male,0,Yes,No,64,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.84,1174.31,No
CUST-10003,Male,0,No,Yes,28,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),106.49,2964.68,No
CUST-10004,Male,0,Yes,No,54,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.57,4805.46,No
CUST-10005,Female,0,Yes,No,67,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,80.48,5374.06,No
CUST-10006,Male,0,Yes,No,36,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.59,836.04,No
CUST-10007,Male,0,Yes,No,63,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.21,4978.11,No
CUST-10008,Male,0,Yes,No,25,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),54.26,1374.79,No
CUST-10009,Female,0,No,Yes,48,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,83.88,4014.62,No
CUST-10010,Male,0,Yes,Yes,39,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Mailed check,84.88,3339.14,No
CUST-10011,Male,0,No,No,47,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.5,876.48,No
CUST-10012,Male,0,No,Yes,21,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,89.87,1878.06,No
CUST-10013,Male,0,Yes,No,30,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),74.29,2225.46,No
CUST-10014,Female,0,Yes,No,31,DSL,Yes,No,No,Yes,Yes,No,One year,No,Credit card (automatic),71.45,2186.12,No
CUST-10015,Male,0,Yes,No,26,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,84.42,2184.7,Yes
CUST-10016,Female,0,No,No,22,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),73.24,1639.69,No
CUST-10017,Female,0,Yes,Yes,21,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,94.84,1998.83,No
CUST-10018,Female,0,Yes,No,1,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),89.25,89.25,No
